"time","bottom_temp","sst","sss","zeta","dist_shore_km","dist_OC_km","dist_200m_km","dist_MO_km","dist_RTWB_km","dist_NB_km","depth_m"
2015-04-11,5.79370880126953,7.20781183242798,32.2070121765137,-0.237177565693855,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-12,5.91572427749634,7.48439741134644,32.2868919372559,-0.356302976608276,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-13,6.05271291732788,8.13398838043213,32.3442268371582,-0.289365172386169,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-14,5.88481664657593,8.27945899963379,32.4036331176758,-0.262007147073746,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-15,5.99738645553589,8.80869102478027,32.3396377563477,-0.305658519268036,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-16,6.08501386642456,9.32062816619873,32.3905143737793,-0.341996282339096,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-17,6.04504537582397,9.87459182739258,32.4235572814941,-0.270340919494629,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-18,6.23168563842773,10.1518774032593,32.3999328613281,-0.295811295509338,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-19,6.27595520019531,10.4759321212769,32.404239654541,-0.269533216953278,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-20,5.5713210105896,9.80927276611328,32.5403785705566,-0.0969952270388603,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-21,5.86145353317261,9.67986583709717,32.619327545166,-0.0858524069190025,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-22,5.82606506347656,9.85023975372314,32.6328926086426,-0.134411305189133,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-23,7.06334066390991,9.68018054962158,32.3427314758301,-0.143218502402306,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-24,7.32029485702515,9.48940944671631,32.5019111633301,-0.210515141487122,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-25,7.32756567001343,9.36987113952637,32.6951332092285,-0.163635611534119,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-26,7.38899993896484,9.39455699920654,32.6542739868164,-0.0619421638548374,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-27,7.48883962631226,9.74508571624756,32.7465629577637,-0.0625677481293678,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-28,7.66358757019043,9.81546211242676,32.7114753723145,-0.125884011387825,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-29,7.88289642333984,10.1487369537354,32.7215423583984,-0.116953171789646,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-30,8.00753879547119,10.593864440918,32.6002082824707,-0.0530381314456463,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-05-01,7.80342483520508,10.793309211731,32.6950531005859,-0.0577805750072002,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-05-02,6.7818169593811,9.3466157913208,33.175220489502,-0.0918762311339378,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-05-03,6.42887735366821,9.71254634857178,33.241756439209,-0.18083892762661,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-05-04,6.64824533462524,10.396915435791,33.0026741027832,-0.26220628619194,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-05-05,6.80405282974243,11.1124334335327,32.4824752807617,-0.316978096961975,48.7,50.2,55.9,22.4,12.2,23.9,34
