Date,Site,sst,bottom_temp,sss,stratification,phase,daylight_hours,year,month,site,device_type,days_monitored,days_present,percent_occurrence,period,dist_200m_km
10/1/23,A7M,18.75330328,18.33693461,31.96167681,0.011896452,0.507376025,11.21100358,2023,Oct,A7M,Archival,31,0,0,2,67.9
10/1/23,RTWB,18.75330328,18.33693461,31.96167681,0.010957068,0.507376025,11.21098566,2023,Oct,RTWB,RealTime,31,0,0,2,67.9
10/1/23,T2M,19.09357034,18.33260432,32.52965398,0.021137944,0.507376025,11.21100358,2023,Oct,T2M,Archival,31,0,0,2,55.9
11/1/23,A2M,15.3104296,15.43474166,31.48942636,-0.005179669,0.520507548,10.1182037,2023,Nov,A2M,Archival,30,3,10,2,83.3
11/1/23,A7M,15.66345682,15.64300028,32.04906177,0.000584333,0.520507548,10.12363889,2023,Nov,A7M,Archival,30,2,6.666666667,2,67.9
11/1/23,RTWB,15.66345682,15.64300028,32.04906177,0.000538331,0.520507548,10.12365741,2023,Nov,RTWB,RealTime,30,1,3.333333333,2,67.9
11/1/23,T2M,15.69266221,15.35558853,32.38293597,0.009363158,0.520507548,10.12364815,2023,Nov,T2M,Archival,30,1,3.333333333,2,55.9
12/1/23,A2M,10.86502595,11.30007768,31.0166319,-0.018127156,0.536737486,9.54359319,2023,Dec,A2M,Archival,31,15,48.38709677,2,83.3
12/1/23,A7M,11.76623981,11.88755605,32.00310695,-0.003466452,0.536737486,9.550698925,2023,Dec,A7M,Archival,31,14,45.16129032,2,67.9
12/1/23,RTWB,11.76623981,11.88755605,32.00310695,-0.003192534,0.536737486,9.550707885,2023,Dec,RTWB,RealTime,31,11,35.48387097,2,67.9
12/1/23,T2M,12.05486184,12.03478761,32.33029519,0.000557619,0.536737486,9.550716846,2023,Dec,T2M,Archival,31,10,32.25806452,2,55.9
1/1/24,A2M,7.572597488,8.371951411,30.02341824,-0.033306413,0.517625578,9.827491039,2024,Jan,A2M,Archival,31,17,54.83870968,2,83.3
1/1/24,A7M,8.393475733,9.139104981,31.13052005,-0.021303871,0.517625578,9.83375448,2024,Jan,A7M,Archival,31,29,93.5483871,2,67.9
1/1/24,RTWB,8.393475733,9.139104981,31.13052005,-0.019621822,0.517625578,9.833727599,2024,Jan,RTWB,RealTime,31,21,67.74193548,2,67.9
1/1/24,T2M,9.126456461,9.655648108,31.85810569,-0.014699768,0.517625578,9.833700717,2024,Jan,T2M,Archival,31,23,74.19354839,2,55.9
2/1/24,A2M,6.144040322,6.277846747,29.98750062,-0.005575268,0.486408109,10.77217433,2024,Feb,A2M,Archival,29,11,37.93103448,2,83.3
2/1/24,A7M,6.583407435,6.843097769,30.95552392,-0.007419655,0.486408109,10.77568966,2024,Feb,A7M,Archival,29,8,27.5862069,2,67.9
2/1/24,RTWB,6.583407435,6.843097769,30.95552392,-0.006833957,0.486408109,10.77573755,2024,Feb,RTWB,RealTime,29,8,27.5862069,2,67.9
2/1/24,T2M,7.311716244,7.351209821,31.93142345,-0.001097044,0.486408109,10.77572797,2024,Feb,T2M,Archival,29,7,24.13793103,2,55.9
